Neighborhood,Latitude,Longitude
Allston,42.358235, -71.128418
Back Bay,42.349832, -71.079325
Beacon Hill,42.357391, -71.067837
Brighton,42.346602, -71.157931
Charlestown,42.377850, -71.065349
Dorchester,42.300826, -71.064900
Downtown,42.357020, -71.056208
East Boston,42.373762, -71.037367
Fenway,42.344510, -71.094653
Hyde Park,42.254212, -71.125960
Jamaica Plain,42.309132, -71.115714
Longwood,42.338242, -71.104614
Mattapan,42.275790, -71.089104
Mission Hill,42.331645, -71.101636
North End,42.364932, -71.053939
Roslindale,42.282429, -71.126276
Roxbury,42.319860, -71.085081
South Boston,42.334822, -71.041772
South Boston Waterfront,42.346513, -71.041879
South End,42.341127, -71.072039
West End,42.364770, -71.065174
West Roxbury,42.280069, -71.158460